playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8479344,148.285,36.469,276.099,6.2925,18,0,42,1,68,11,0.46949751,0.17699228,0.35351021,0,2,5,4,13,10,0,4,5,64,3,3,14,19,1,5,8
8478401,153.1774,36.483,307.4376,5.7605,11,0,82,7,44,5,0.41092356,0.18519874,0.4038777,0,0,3,1,37,17,0,2,7,43,1,4,1,28,0,3,1
8480036,146.4503,37.126,392.0594,6.8518,64,0,47,2,20,3,0.41865942,0.17821063,0.40312995,0,7,18,2,23,5,0,3,15,18,0,11,2,19,1,1,31
8475225,149.8782,35.711,274.7442,5.2563,22,1,70,7,48,7,0.43443163,0.18928482,0.37628355,1,0,10,1,31,13,0,3,4,47,7,7,23,26,0,6,8
8473533,138.6933,35.854,341.3358,5.1357,8,0,37,2,73,12,0.45408466,0.18309785,0.36281749,4,8,2,5,13,12,0,5,4,68,2,6,1,12,0,2,2
8480459,139.0312,34.389,355.6395,5.6587,17,1,52,7,69,7,0.38900926,0.17764117,0.43334957,1,2,7,7,29,11,0,4,8,62,6,5,1,12,0,9,2
8474578,158.8101,36.342,259.574,6.3814,52,5,29,2,10,3,0.42432773,0.18179562,0.39387665,0,3,23,0,13,2,1,1,9,10,4,7,6,14,0,4,20
8474884,151.391,36.427,295.1233,5.6055,27,2,49,6,27,5,0.41257099,0.18832971,0.3990993,2,0,7,4,12,15,1,3,7,23,9,11,21,22,0,4,13
8476448,149.6851,36.715,316.3418,6.0353,9,0,45,4,54,6,0.43420585,0.1863209,0.37947325,1,1,2,4,18,20,1,1,6,50,3,14,4,7,0,2,1
8477341,128.9728,35.507,264.1059,5.6944,5,0,34,3,54,8,0.40898165,0.18743965,0.4035787,1,2,3,2,16,12,0,1,1,52,3,7,3,6,0,4,1
8477498,160.8539,36.031,399.4735,7.0431,93,1,40,5,20,1,0.43025229,0.17463755,0.39511016,0,10,34,1,14,19,0,5,53,19,5,21,4,7,0,5,6
8478407,152.3727,35.296,346.028,6.0269,64,3,35,3,9,0,0.4547794,0.17710145,0.36811915,1,5,27,0,15,14,0,2,29,9,2,3,0,6,0,0,8
8476329,127.3635,34.424,308.1043,5.2915,4,0,28,3,52,14,0.39044252,0.17876195,0.43079553,1,0,3,1,11,8,0,0,0,51,0,0,1,9,0,2,1
8470966,156.5087,34.589,340.8921,5.7104,99,2,24,3,6,1,0.4413038,0.17854933,0.38014687,0,4,37,1,7,13,0,3,53,5,2,9,4,4,0,0,9
