assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
33,14,35,0.5,8,59,19,Svechnikov,0,58,8480830,13,52,0.88135,R,5,17,20232024,0,0,0.13194,L,144,Andrei Svechnikov,CAR,1018.7796
27,22,42,0.5625,3,68,25,Seguin,0,26,8475794,10,52,0.7647,C,3,8,20232024,0,2,0.16233,R,154,Tyler Seguin,DAL,992.8235
24,18,35,0.48888,4,69,28,Meier,1,45,8478414,-28,52,0.75362,R,10,17,20232024,0,0,0.13526,L,207,Timo Meier,NJD,1056.0869
40,8,33,0.48387,2,81,12,Huberdeau,0,49,8476456,-29,52,0.64197,L,4,19,20232024,0,0,0.08391,L,143,Jonathan Huberdeau,CGY,1045.3209
42,4,31,,5,82,10,Carlson,0,40,8474590,-7,52,0.63414,D,6,21,20232024,0,0,0.05681,R,176,John Carlson,WSH,1553.5
32,17,35,,2,82,20,Weegar,1,51,8477346,2,52,0.63414,D,3,15,20232024,0,2,0.09615,R,208,MacKenzie Weegar,CGY,1375.817
35,10,35,0.52571,4,75,16,Stephenson,0,25,8476905,-9,51,0.68,C,4,13,20232024,2,3,0.16494,L,97,Chandler Stephenson,VGK,1109.0133
41,10,45,,2,82,10,Letang,0,62,8471724,13,51,0.62195,D,0,5,20232024,0,1,0.06097,R,164,Kris Letang,PIT,1481.3048
27,17,36,0.53277,4,82,24,Henrique,0,37,8474641,9,51,0.62195,C,5,10,20232024,2,5,0.17142,L,140,Adam Henrique,"ANA,EDM",1010.9512
35,8,30,,3,82,15,Doughty,1,44,8474563,15,50,0.60975,D,7,20,20232024,0,0,0.11111,R,135,Drew Doughty,LAK,1547.6097
38,12,43,,2,82,12,Toews,0,18,8478038,28,50,0.60975,D,0,5,20232024,0,2,0.07547,L,159,Devon Toews,COL,1405.7439
28,20,43,0.375,2,82,22,Farabee,1,37,8480797,-13,50,0.60975,L,2,7,20232024,0,0,0.12087,L,182,Joel Farabee,PHI,971.1829
22,25,43,0.2,5,82,28,Peterka,0,28,8482175,10,50,0.60975,R,3,7,20232024,0,0,0.12389,L,226,JJ Peterka,BUF,983.5487
30,14,36,0.5,2,82,20,Slafkovský,0,55,8483515,-19,50,0.60975,L,6,14,20232024,0,0,0.13157,L,152,Juraj Slafkovský,MTL,1076.1463
29,12,36,0.44754,0,77,19,Compher,0,34,8477456,-5,48,0.62337,L,5,10,20232024,2,2,0.17592,R,108,J.T. Compher,DET,1163.2987
43,3,37,,0,81,5,Hronek,0,38,8479425,33,48,0.59259,D,2,11,20232024,0,0,0.03378,R,148,Filip Hronek,VAN,1406.4814
27,18,32,,7,50,20,Kane,3,16,8474141,-5,47,0.94,R,2,15,20232024,0,0,0.13605,L,147,Patrick Kane,DET,1102.58
35,11,34,,3,74,12,McAvoy,2,86,8479325,4,47,0.63513,D,1,13,20232024,0,0,0.09022,R,133,Charlie McAvoy,BOS,1490.7567
30,10,30,0.47058,4,76,17,Perron,0,55,8474102,-12,47,0.61842,L,7,17,20232024,0,0,0.11258,R,151,David Perron,DET,937.7368
30,14,36,0.51858,2,78,17,Danault,0,18,8476479,12,47,0.60256,C,3,9,20232024,0,2,0.10691,L,159,Phillip Danault,LAK,1081.2692
29,13,34,0.45549,1,79,18,Cozens,1,42,8481528,-4,47,0.59493,C,2,10,20232024,3,3,0.09,R,200,Dylan Cozens,BUF,1033.5316
32,13,37,,3,79,15,Harley,3,18,8481581,28,47,0.59493,D,1,9,20232024,1,1,0.10416,L,144,Thomas Harley,DAL,1261.0126
34,11,31,,2,80,13,Skjei,0,40,8476869,15,47,0.5875,D,1,12,20232024,1,4,0.07027,L,185,Brady Skjei,CAR,1276.6875
38,8,45,0.5,1,80,9,Domi,0,118,8477503,10,47,0.5875,C,1,2,20232024,0,0,0.06569,L,137,Max Domi,TOR,827.1
34,8,32,,2,80,13,Hanifin,0,24,8478396,19,47,0.5875,D,5,13,20232024,0,2,0.07926,L,164,Noah Hanifin,"CGY,VGK",1416.8375
27,19,42,0.2,3,82,20,Garland,0,35,8478856,19,47,0.57317,R,1,5,20232024,0,0,0.1,R,200,Conor Garland,VAN,872.3048
